OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049643,Allegheny River bl Falling Springs Run at Oakmont,Stream,,05010009,11548,sq mi,,,40.5261111,-79.8375,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049649,"Deer Creek at Rt. 910 near Cheswick, PA",Stream,,05010009,49.1,sq mi,,,40.5455833,-79.8367778,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,750,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049652,"Allegheny River at Hulton Bridge at Oakmont, PA",Stream,,05010009,11577,sq mi,,,40.5275679,-79.8472722,24000,1,seconds,Interpolated from MAP.,NAD83,730,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049668,"Allegheny River ab Quigley Creek at Blawnox, pa",Stream,,05010009,11625,sq mi,,,40.495,-79.8508333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,721,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049674,"Allegheny River near Blawnox, PA",Stream,,05010009,11639,sq mi,,,40.4856667,-79.8704861,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,20,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049676,"Squaw Run at Old Freeport Road near Blawnox, PA",Stream,,05010009,8.07,sq mi,,,40.4880556,-79.8775,24000,1,seconds,Interpolated from MAP.,NAD83,750,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049677,"Allegheny River ab Shades Run at Aspinwall, PA",Stream,,05010009,11640,sq mi,,,40.4838889,-79.8833333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049678,"Allegheny River bl Shades Run at Aspinwall, PA",Stream,,05010009,11641,sq mi,,,40.4844444,-79.8908333,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049690,"Allegheny River at Sharpsburg, PA",Stream,,05010009,11652,sq mi,,,40.4916667,-79.9269444,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,710,feet,10,feet,Interpolated from topographic map.,NGVD29,US,42,003,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03049810,"Pine Creek at Etna, PA",Stream,,05010009,66.8,sq mi,,,40.4950687,-79.9403298,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,42,003,,,,,,,,,NWIS
